Time,Event,Crane,Location,Plate,Tag
0,Move_from,Crane-1,A01,,
0,Move_from,Crane-2,A40,,
4,Move_to,Crane-1,A03,,
4,Pick_up,Crane-1,A03,SP-RS-A03-135,
4,Move_from,Crane-1,A03,,
8,Move_to,Crane-1,B01,,
8,Put_down,Crane-1,B01,SP-RS-A03-135,
8,Move_from,Crane-1,B01,,
18,Move_to,Crane-2,B31,,
18,Pick_up,Crane-2,B31,SP-RS-B31-147,
18,Move_from,Crane-2,B31,,
28,Move_to,Crane-2,B26,,
28,Move_from,Crane-2,B26,,
28,Move_to,Crane-2,B26,,
28,Put_down,Crane-2,B26,SP-RS-B31-147,
28,Move_from,Crane-2,B26,,
34,Move_to,Crane-1,A14,,
34,Pick_up,Crane-1,A14,SP-RS-A14-154,
34,Move_from,Crane-1,A14,,
34,Move_to,Crane-1,A14,,
34,Pick_up,Crane-1,A14,SP-RS-A14-153,
34,Move_from,Crane-1,A14,,
40,Move_to,Crane-2,A32,,
40,Move_from,Crane-2,A32,,
40,Move_to,Crane-2,A32,,
40,Pick_up,Crane-2,A32,SP-RS-A32-152,
40,Move_from,Crane-2,A32,,
42,Release,,cn2,,
50,Move_to,Crane-2,B37,,
50,Move_from,Crane-2,B37,,
50,Move_to,Crane-2,B37,,
50,Put_down,Crane-2,B37,SP-RS-A32-152,
50,Move_from,Crane-2,B37,,
54,Move_to,Crane-1,A04,,
54,Put_down,Crane-1,A04,SP-RS-A14-153,
54,Move_from,Crane-1,A04,,
54,Move_to,Crane-1,A04,,
54,Put_down,Crane-1,A04,SP-RS-A14-154,
54,Move_from,Crane-1,A04,,
78,Move_to,Crane-2,A24,,
78,Move_from,Crane-2,A24,,
78,Move_to,Crane-2,A24,,
78,Pick_up,Crane-2,A24,SP-RT-A24-165,
78,Move_from,Crane-2,A24,,
80,Move_to,Crane-2,cn2,,
80,Put_down,Crane-2,cn2,SP-RT-A24-165,
80,Move_from,Crane-2,cn2,,
96,Move_to,Crane-2,A32,,
96,Pick_up,Crane-2,A32,SP-RS-A32-151,
96,Move_from,Crane-2,A32,,
110,Move_to,Crane-2,A39,,
110,Avoiding_wait_start,Crane-2,A39,,
116,Release,,cn2,,
118,Avoiding_wait_finish,Crane-2,A39,,
118,Move_from,Crane-2,A39,,
118,Move_to,Crane-1,B34,,
118,Pick_up,Crane-1,B34,SP-RS-B34-145,
118,Move_from,Crane-1,B34,,
144,Move_to,Crane-2,A26,,
144,Put_down,Crane-2,A26,SP-RS-A32-151,
144,Move_from,Crane-2,A26,,
154,Move_to,Crane-2,B22,,
154,Pick_up,Crane-2,B22,SP-RT-B22-143,
154,Move_from,Crane-2,B22,,
160,Move_to,Crane-2,cn2,,
160,Put_down,Crane-2,cn2,SP-RT-B22-143,
160,Move_from,Crane-2,cn2,,
166,Release,,cn2,,
174,Move_to,Crane-2,B31,,
174,Pick_up,Crane-2,B31,SP-RS-B31-146,
174,Move_from,Crane-2,B31,,
182,Move_to,Crane-1,A04,,
182,Put_down,Crane-1,A04,SP-RS-B34-145,
182,Move_from,Crane-1,A04,,
194,Move_to,Crane-1,A10,,
194,Avoiding_wait_start,Crane-1,A10,,
210,Avoiding_wait_finish,Crane-1,A10,,
210,Move_from,Crane-1,A10,,
210,Move_to,Crane-2,B15,,
210,Put_down,Crane-2,B15,SP-RS-B31-146,
210,Move_from,Crane-2,B15,,
228,Move_to,Crane-1,A19,,
228,Pick_up,Crane-1,A19,SP-RT-A19-153,
228,Move_from,Crane-1,A19,,
242,Move_to,Crane-1,cn2,,
242,Put_down,Crane-1,cn2,SP-RT-A19-153,
242,Move_from,Crane-1,cn2,,
246,Move_to,Crane-2,B31,,
246,Pick_up,Crane-2,B31,SP-RS-B31-145,
246,Move_from,Crane-2,B31,,
256,Move_to,Crane-2,A26,,
256,Put_down,Crane-2,A26,SP-RS-B31-145,
256,Move_from,Crane-2,A26,,
268,Move_to,Crane-2,A32,,
268,Pick_up,Crane-2,A32,SP-RS-A32-150,
268,Move_from,Crane-2,A32,,
272,Move_to,Crane-2,A34,,
272,Pick_up,Crane-2,A34,SP-RS-A34-144,
272,Move_from,Crane-2,A34,,
288,Move_to,Crane-1,B03,,
288,Pick_up,Crane-1,B03,SP-RS-B03-153,
288,Move_from,Crane-1,B03,,
302,Move_to,Crane-1,B10,,
302,Avoiding_wait_start,Crane-1,B10,,
303,Release,,cn1,,
314,Avoiding_wait_finish,Crane-1,B10,,
314,Move_from,Crane-1,B10,,
314,Move_to,Crane-2,B15,,
314,Put_down,Crane-2,B15,SP-RS-A34-144,
314,Move_from,Crane-2,B15,,
314,Move_to,Crane-2,B15,,
314,Put_down,Crane-2,B15,SP-RS-A32-150,
314,Move_from,Crane-2,B15,,
320,Move_to,Crane-2,A18,,
320,Pick_up,Crane-2,A18,SP-RT-A18-138,
320,Move_from,Crane-2,A18,,
328,Move_to,Crane-2,cn1,,
328,Put_down,Crane-2,cn1,SP-RT-A18-138,
328,Move_from,Crane-2,cn1,,
344,Move_to,Crane-1,B24,,
344,Move_from,Crane-1,B24,,
344,Move_to,Crane-1,B24,,
344,Put_down,Crane-1,B24,SP-RS-B03-153,
344,Move_from,Crane-1,B24,,
356,Move_to,Crane-2,A34,,
356,Pick_up,Crane-2,A34,SP-RS-A34-143,
356,Move_from,Crane-2,A34,,
360,Move_to,Crane-1,B31,,
360,Pick_up,Crane-1,B31,SP-RS-B31-144,
360,Move_to,Crane-2,A36,,
360,Move_from,Crane-2,A36,,
360,Move_from,Crane-1,B31,,
380,Move_to,Crane-2,A26,,
380,Put_down,Crane-2,A26,SP-RS-A34-143,
380,Move_from,Crane-2,A26,,
410,Move_to,Crane-2,B13,,
410,Pick_up,Crane-2,B13,SP-RS-B13-163,
410,Move_from,Crane-2,B13,,
424,Move_to,Crane-1,B01,,
424,Put_down,Crane-1,B01,SP-RS-B31-144,
424,Move_from,Crane-1,B01,,
426,Move_to,Crane-1,B00,,
426,Pick_up,Crane-1,B00,SP-ST-B00-467,
426,Move_from,Crane-1,B00,,
434,Move_to,Crane-2,B24,,
434,Put_down,Crane-2,B24,SP-RS-B13-163,
434,Move_from,Crane-2,B24,,
435,Release,,cn2,,
448,Move_to,Crane-1,A11,,
448,Put_down,Crane-1,A11,SP-ST-B00-467,
448,Move_from,Crane-1,A11,,
454,Move_to,Crane-1,B08,,
454,Avoiding_wait_start,Crane-1,B08,,
